Timestamp,Asset Name,Creator,Category,Cost,Direct Link
2026-09-02 09:16:32,1$ gesture recogniser and recorder,blurymind,2D Tools,MIT,https://godotengine.org/asset-library/asset/91
2026-09-02 09:16:32,Placeholder Search,lkokemohr,Tools,MIT,https://godotengine.org/asset-library/asset/90
2026-09-02 09:16:32,Version,rydm,Misc,MIT,https://godotengine.org/asset-library/asset/88
2026-09-02 09:16:32,Name generator,binogure,Scripts,MIT,https://godotengine.org/asset-library/asset/87
2026-09-02 09:16:32,Godot Data Editor,Stoeoeoe,Tools,MIT,https://godotengine.org/asset-library/asset/73
2026-09-02 09:16:32,Line Edit Plus,blurymind,Scripts,MIT,https://godotengine.org/asset-library/asset/85
2026-09-02 09:16:32,SoftNoise,perdugames,Scripts,MIT,https://godotengine.org/asset-library/asset/80
2026-09-02 09:16:32,Simple Wind Shader (Incl. Demo),Maujoe,Shaders,MIT,https://godotengine.org/asset-library/asset/74
2026-09-02 09:16:32,FontAwesome Icons,Geequlim,2D Tools,MIT,https://godotengine.org/asset-library/asset/72
2026-09-02 09:16:32,Vehicle Controller 2D,Tybobobo,Tools,MIT,https://godotengine.org/asset-library/asset/71
2026-09-02 09:16:32,TerrainEditorPainter,HumanSheeple,3D Tools,MIT,https://godotengine.org/asset-library/asset/68
2026-09-02 09:16:32,Animated Camera,x1212,3D Tools,MIT,https://godotengine.org/asset-library/asset/64
2026-09-02 09:16:32,Blackhole effect,Zylann,2D Tools,MIT,https://godotengine.org/asset-library/asset/63
2026-09-02 09:16:32,Rope,Vlabo,2D Tools,MIT,https://godotengine.org/asset-library/asset/62
2026-09-02 09:16:32,GodotNetworking,rdcklinux,Scripts,MIT,https://godotengine.org/asset-library/asset/61
2026-09-02 09:16:32,TODO List,need12648430,Tools,MIT,https://godotengine.org/asset-library/asset/53
2026-09-02 09:16:32,Nested Code Box,BBric,Scripts,MIT,https://godotengine.org/asset-library/asset/37
2026-09-02 09:16:32,Logger,Akien,Scripts,MIT,https://godotengine.org/asset-library/asset/2
2026-09-02 09:16:32,Godot Skybox Converter Plugin,NerdOfTheMountain,3D Tools,MIT,https://godotengine.org/asset-library/asset/12
2026-09-02 09:16:32,Wireframe Tool,GlaDOSik,3D Tools,MIT,https://godotengine.org/asset-library/asset/13
2026-09-02 09:16:32,MessDeform,RandomShaper,2D Tools,MIT,https://godotengine.org/asset-library/asset/16
2026-09-02 09:16:32,GodotMaze,landroo,2D Tools,MIT,https://godotengine.org/asset-library/asset/19
2026-09-02 09:16:32,Arc Dark theme,Geequlim,Misc,MIT,https://godotengine.org/asset-library/asset/20
2026-09-02 09:16:32,Aseprite import,eska,Tools,BSD-2-Clause,https://godotengine.org/asset-library/asset/21
2026-09-02 09:16:32,Fur shader demo 2,SuperUserNameMan,Shaders,MIT,https://godotengine.org/asset-library/asset/27
2026-09-02 09:16:32,Project Time Tracker,YeOldeDM,Misc,MIT,https://godotengine.org/asset-library/asset/30
2026-09-02 09:16:32,Ross's Project Timer,Ross,Tools,MIT,https://godotengine.org/asset-library/asset/31
2026-09-02 09:16:32,Godot Project Analytics,funabab,Tools,MIT,https://godotengine.org/asset-library/asset/32
2026-09-02 09:16:32,VR Mobile Camera,Lamberto,3D Tools,MIT,https://godotengine.org/asset-library/asset/35
2026-09-02 09:16:32,BorderedPolygon2D,arypbatista,2D Tools,MIT,https://godotengine.org/asset-library/asset/59
2026-09-02 09:16:32,Simple 2D Water Surface,khairul169,2D Tools,MIT,https://godotengine.org/asset-library/asset/40
2026-09-02 09:16:32,eco-fps-controller,Gokudomatic,Scripts,MIT,https://godotengine.org/asset-library/asset/41
2026-09-02 09:16:32,3D Water Surface,khairul169,3D Tools,MIT,https://godotengine.org/asset-library/asset/42
2026-09-02 09:16:32,Navigation Agent,khairul169,3D Tools,MIT,https://godotengine.org/asset-library/asset/43
2026-09-02 09:16:32,Atlas Importer,Geequlim,Tools,MIT,https://godotengine.org/asset-library/asset/44
2026-09-02 09:16:32,eco-state-machine,Gokudomatic,Scripts,MIT,https://godotengine.org/asset-library/asset/45
2026-09-02 09:16:32,TortoiseHg Mercurial Integration,lkokemohr,Tools,MIT,https://godotengine.org/asset-library/asset/46
2026-09-02 09:16:32,Arrows,lkokemohr,2D Tools,MIT,https://godotengine.org/asset-library/asset/47
2026-09-02 09:16:32,DigiVR,digitecnology,3D Tools,MIT,https://godotengine.org/asset-library/asset/49
2026-09-02 09:16:32,DigiVGamepad,digitecnology,Tools,MIT,https://godotengine.org/asset-library/asset/50
2026-09-02 09:16:32,eco-fps-walker,Gokudomatic,Scripts,MIT,https://godotengine.org/asset-library/asset/52
2026-09-02 09:16:32,Collision Path2D,Genete,2D Tools,MIT,https://godotengine.org/asset-library/asset/56
2026-09-02 09:16:32,On Screen Input,MarianoGNU,Tools,MIT,https://godotengine.org/asset-library/asset/57
